Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771977623,5,,Aggregated,48.600000,0.000000,77,78,79,79,81,82,85,93,190,200,200,2020,0,77,77.85309753414575,72.31391700042877,204.23866600322071,1265.3628712871287
1771977624,5,,Aggregated,48.400000,0.000000,77,78,79,79,81,82,85,93,190,200,200,2069,0,77,77.8391024137025,72.31391700042877,204.23866600322071,1264.8825519574673
1771977625,5,,Aggregated,48.000000,0.000000,77,78,79,79,80,82,85,93,190,200,200,2119,0,77,77.81109561159359,72.31391700042877,204.23866600322071,1264.1529023124115
1771977626,5,,Aggregated,48.100000,0.000000,77,78,79,79,80,82,85,93,190,200,200,2166,0,77,77.8046081744974,72.31391700042877,204.23866600322071,1267.331948291782
1771977627,5,,Aggregated,48.000000,0.000000,77,78,79,79,80,82,85,92,190,200,200,2214,0,77,77.78484677776964,72.31391700042877,204.23866600322071,1268.552393857272
1771977628,5,,Aggregated,47.800000,0.000000,77,78,79,79,80,82,85,92,190,200,200,2261,0,77,77.76930853559846,72.31391700042877,204.23866600322071,1266.4458204334364
1771977629,5,,Aggregated,47.700000,0.000000,77,78,79,79,80,82,85,91,190,200,200,2308,0,77,77.75981333794252,72.31391700042877,204.23866600322071,1264.6919410745234
1771977630,5,,Aggregated,47.800000,0.000000,77,78,79,79,80,82,85,91,190,200,200,2358,0,77,77.73543731465607,72.31391700042877,204.23866600322071,1265.0186598812552
1771977631,5,,Aggregated,47.700000,0.000000,77,78,79,79,80,82,85,91,190,200,200,2408,0,77,77.72790522257645,72.31391700042877,204.23866600322071,1263.077242524917
1771977632,5,,Aggregated,47.600000,0.000000,77,78,79,79,80,82,85,91,190,200,200,2457,0,77,77.71732574642502,72.31391700042877,204.23866600322071,1263.051282051282
1771977633,5,,Aggregated,47.700000,0.000000,77,78,79,79,80,82,85,91,190,200,200,2506,0,77,77.70303432720486,72.31391700042877,204.23866600322071,1260.4197924980049
1771977634,5,,Aggregated,48.100000,0.000000,77,78,79,79,80,82,85,91,190,200,200,2552,0,77,77.69694753525218,72.31391700042877,204.23866600322071,1257.2586206896551
1771977635,5,,Aggregated,48.300000,0.000000,77,78,79,79,80,82,85,93,190,200,200,2599,0,77,77.79025134164482,72.31391700042877,204.23866600322071,1256.573682185456
1771977636,5,,Aggregated,48.300000,0.000000,77,78,79,79,80,82,85,93,190,200,200,2645,0,77,77.77383624307716,72.31391700042877,204.23866600322071,1256.266540642722
1771977637,5,,Aggregated,48.100000,0.000000,77,78,79,79,80,82,85,93,190,200,200,2694,0,77,77.76260006381683,72.31391700042877,204.23866600322071,1256.5059391239793
1771977639,5,,Aggregated,48.100000,0.000000,77,78,79,79,80,82,85,93,190,200,200,2743,0,77,77.75392617132134,72.31391700042877,204.23866600322071,1256.281079110463
1771977640,5,,Aggregated,47.800000,0.000000,77,78,79,79,80,82,85,93,190,200,200,2791,0,77,77.74254569183336,72.31391700042877,204.23866600322071,1254.7577929057686
1771977641,5,,Aggregated,48.000000,0.000000,77,78,79,79,80,82,85,92,190,200,200,2840,0,77,77.72886478235026,72.31391700042877,204.23866600322071,1254.1045774647887
1771977642,5,,Aggregated,48.100000,0.000000,77,78,79,79,80,82,85,92,190,200,200,2888,0,77,77.72224585176274,72.31391700042877,204.23866600322071,1255.139889196676
1771977643,5,,Aggregated,48.200000,0.000000,77,78,79,79,80,82,85,91,190,200,200,2937,0,77,77.70755402991848,72.31391700042877,204.23866600322071,1257.1835205992509
1771977644,5,,Aggregated,48.200000,0.000000,77,78,79,79,80,82,84,91,190,200,200,2984,0,77,77.69602997181717,72.31391700042877,204.23866600322071,1257.2573726541555
1771977645,5,,Aggregated,47.800000,0.000000,77,78,79,79,80,82,84,91,180,200,200,3032,0,77,77.68417182550627,72.31391700042877,204.23866600322071,1256.6230211081795
1771977646,5,,Aggregated,47.800000,0.000000,77,78,79,79,80,82,84,91,180,200,200,3079,0,77,77.67525789377525,72.31391700042877,204.23866600322071,1257.1718090289055
1771977647,5,,Aggregated,47.800000,0.000000,77,78,79,79,80,82,84,91,180,200,200,3126,0,77,77.66359313433232,72.31391700042877,204.23866600322071,1257.829814459373
1771977648,5,,Aggregated,47.900000,0.000000,77,78,79,79,80,82,84,91,180,200,200,3173,0,77,77.65494386603362,72.31391700042877,204.23866600322071,1256.8622754491018
1771977649,5,,Aggregated,48.100000,0.000000,77,78,79,79,80,82,84,91,180,200,200,3223,0,77,77.65181790068759,72.31391700042877,204.23866600322071,1256.627986348123
1771977650,5,,Aggregated,47.800000,0.000000,77,78,79,79,80,82,84,91,180,200,200,3272,0,77,77.64918915890719,72.31391700042877,204.23866600322071,1255.416259168704
1771977651,5,,Aggregated,47.800000,0.000000,77,78,79,79,80,82,84,91,180,200,200,3319,0,77,77.63603658508774,72.31391700042877,204.23866600322071,1255.3898764688158
1771977652,5,,Aggregated,47.800000,0.000000,77,78,79,79,80,82,84,91,180,200,200,3366,0,77,77.63187466842588,72.31391700042877,204.23866600322071,1255.6325014854426
1771977653,5,,Aggregated,47.900000,0.000000,77,78,79,79,80,82,84,90,180,200,200,3415,0,77,77.62632126938078,72.31391700042877,204.23866600322071,1254.8559297218155
1771977654,5,,Aggregated,47.700000,0.000000,77,78,79,79,80,81,84,90,180,200,200,3466,0,77,77.6148513450408,72.31391700042877,204.23866600322071,1256.1090594345067
1771977655,5,,Aggregated,47.700000,0.000000,77,78,79,79,80,82,84,89,180,200,200,3511,0,77,77.60684597463077,72.31391700042877,204.23866600322071,1255.190544004557
1771977656,5,,Aggregated,47.700000,0.000000,77,78,79,79,80,81,84,89,180,200,200,3562,0,77,77.59733937168234,72.31391700042877,204.23866600322071,1255.7150477259966
